allele		the two alternative forms of a gene found at the same place on a chromosome.			
trigger		an event that is the cause of a particular action, process or situation.			
Type A behaviour pattern		outgoing, ambitious, rigidly organized, highly status-conscious, sensitive, impatient, anxious, proactive, and concerned with time management			
vasodilation		the widening of blood vessels			
Aorta		The large arterial trunk that carries blood from the heart to be distributed by branch arteries through the body.			
coronary arteries and veins		These are the vessels located on and in the actual myocardium or heart muscle. They supply and drain the myocardium of blood, respectively.			
Main types of cardiovascular diseases		1. Coronary heart disease 2. Heart failure 3. Valve disease 4. Arrhythmia / sudden cardiac death 5. Stroke/CVA/TIA 6. others like endocarditis			
Iceberg Phenomenon		for any given disesase, there is a much larger problem with carriers and asymptomatic individuals than we realize  => only when you’re over a certain threshold you will get cardiac events.			
mental stress ischemia		Decreased cardiac supply - (narrowing coronary arteries) – heart doesn’t get sufficient blood supply which can lead to MI Increased cardiac demand (hemodymanic reactivity) - (blood pressure, heart rate, contractility)			
Bradycardia		slow heart rate (less than 60 bpm)			
emotional state and risk of ischemia		Ischemia during daily life is often silent and without symptoms in 80 to 90 % of patients. • There’s a link between emotional states and myocardial ischemia in daily life which is not explained by symptoms.			
daily life activities triggering heart attack/myocardial infarction		more common in males mostly age > 62 current smoker family history of CVD high emotional and physical stress			
what happens to the heart rate (usually) before a heart attack		Drop in heart rate variability in the 10 minutes prior to ischemia and a further steep drop in the few minutes prior to ischemia.  Shows a drop prior to myocardial ischemia - reduction of your relaxation parasympathetic nervous system ➔ More announced in people who are mentally active/stressed => High levels of mental arousal and low levels of parasympathetic activity.			
Effects of mental stress on coronary vasodiameter (diameter of arteries)		Mental stress also results in an extra narrowing of the coronary arteries. If an artery is narrowed/stenoses you see a higher load with mental stress.  If the mental stress isn't as high, you see that the arteries don’t change much. ➔ The more diseased arteries, the more they narrow →heart has to work harder with stress and the diseased parts of the coronary arteries constrict, both contributing to the likelihood of myocardial ischemia			
Apical ballooning syndrome (ABS)		- Transient left ventricular apical ballooning - Broken heart syndrome - Stress cardiomyopathy - Ampulla cardiomyopathy - Neurogenic stunning  With the broken heart syndrome the base of the heart does not contract at all during systole. Normally you only see this with severe myocardial infarction.			
Characteristics of Tako-Tsubo cardiomyopathy		- ECG suggesting acute myocardial infarction (symptoms are like myocardial infarction) - Apical ballooning or other major ventricular dysfunction - Chest pain/dyspnea, pulmonary edema, cardiogenic shock  But: - When doing in angiogram: the coronary vessels seem to be normal  - Minimal coronary artery disease (highly unusual) - Often triggered by emotional or physical distress (≈50% each) - High (supraphysiologic) circulating catecholamines on admission - ≈80% female, mostly post-menopausal (mean age 63 yr) – very common in women			
important pathways in chronic risk factors		4 pathways that play a primary role in episodic- and chronic risk factors: - Central Nervous System (SAM, HPA) - Autonomic nervous system (parasympathetic & sympathetic) - Blood clot formation (coagulation & reduced fibrinolysis) - Inflammation & Immune dysregulation			
Most common type of vulnerable plaque (in arteries)		Even before the atherosclerotic plaque starts to narrow the artery, you already get plaque build- up. In plaque you do not only see LDL/cholesterol type, but also 2 types of immune system products: - Apoptotic macrophages - T-cells This indicates that the immune system plays an essential role in the early stages of the atherosclerotic disease process.			
why depression is a cardiovascular risk factor		- Central nervous system which affects the output system of the CNS like neurohormones and sympathetic/parasympathetic balance which shifts to lower parasympathetic and higher sympathetic activity.  The biological changes of the CNS than result in changes in the immune system. Immune suppression important in earlier stages.  => Pro-inflammatory cytokines are an important factor in driving plaque instability and blood clot formation and that can resolve in acute coronary syndromes.			
asexual reproduction		reproduction without sex, a single organism or cell makes a copy of itself			
gynodiversity		vaginas come in all shapes and sizes			
gynoplasty		reparative or plastic surgery of female genital organs			
luteal phase		phase in the menstrual cycle which occurs after ovulation and before your period starts. During this time, the lining of your uterus normally gets thicker to prepare for a possible pregnancy			
menarche		onset of the menstrual cycle			
menstrual phase		woman's monthly bleeding in which the endometrium breaks down and is removed; triggered by reduction in progesterone			
ovulation		release of an egg from the ovaries			
oxytocin		posterior pituitary peptide hormone, causing muscle contraction, involved in breastfeeding, childbirth, social bonding and orgasm			
polycystic ovary syndrome (PCOS)		disorder characterized by the disruption of ovulation cycle due to cysts around the edge of the ovaries and excessive secretion of androgens, leading to hyperandrogenism			
premenstrual syndrome (PMS)		Drop in estrogen and progesterone can induce irritability, anger or sadness, pain sensitivity, acne, and cramps.			
progesterone		female steroid sex hormone, levels increase after ovulation and during pregnancy			
prolactin		anterior pituitary peptide hormone involved in lactation and childbirth			
sexual reproduction		exchange of genetic material (conjugation), which creates genetic diversity and increases the chance of a better adapted organism			
testosterone		male steroid sex hormone, secreted primarily by the testis			
GnRH (gonadotropin-releasing hormone)		a hormone secreted by the hypothalamus that regulates the pituitary's secretion of gonad-stimulating hormones => responsible for the release of follicle stimulating hormone (FSH) and luteinizing hormone (LH) from the anterior pituitary			
FSH promotes...		growth of eggs and sperm  => follicle stimulating hormone: stimulates growth of the follicles so the follicle eventually pops through which the egg is released (ovulation). After the release of the egg the membrane where the egg was in is shrinking into the corpus luteum/yellow substance.			
LH is involved in ...		ovulation and menstrual cycle			
different phases of the menstrual cycle		Follicular phase - Ovulation (middle of the cycle) - Luteal phase - Menstruation -> (repeat)			
The menstrual cycle is driven by hormones...		Starts with GnRH production in the hypothalamus and the FSH and LH hormones in the anterior pituitary gland			
How does the follicle affect hormone levels during the menstrual cycle		The follicle produces the hormone oestrogen/oestradiol.			
Progestore and Oestrogens function		Later on the ovarian cycle the corpus luteum produces progesterone and oestrogens which has an impact on the uterus: ▪ Breaking down of the endometrium ▪ Building up the endometrium by oestrogen produced by follicles. ▪ Ovulation: corpus luteum starts to produce oestrogen progesterone combination which further thickens the endometrium to welcome the fertilized egg.  => If there isn’t an fertilized egg, menstruation sets in after the luteal phase.			
Ovarian cycle		GnRH starts stimulating FSH => Follicles are maturing and growing until the follicle ruptures and the egg is being released = ovulation.  => The corpus luteum produces progesterone which has an effect on the endometrium and then the cycle begins again.   (Sometimes more eggs mature and ripe which causes heterozygotic twins)			
Hormonal control of the female reproductive cycle		"Ovaries provide feedback to the hypothalamus by the production of oestradiol/oestrogen. Type of feedback and amount of oestradiol/oestrogens depends on the phase. Basis is similar across all phases  ""The ovarian and menstrual cycles of female reproduction are regulated by hormones produced by the hypothalamus, pituitary, and ovaries. The pattern of activation and inhibition of these hormones varies between phases of the reproductive cycle"""			
follicular phase of ovarian cycle		FSH predominates during days 1-13, the ovarian follicles develop and estrogen secretion by follicles is stimulated  GnRH=> increases LH and FSH => follicles form then  Follicles start to produce oestrogen which has a negative inhibiting effect on the hypothalamus which tells it to reduce the release of GnRH and therefor reducing release of LH and FSH. Oestrogen also causes the endometrium arteries to constrict which results in the breaking down of the endometrium (menstruation)			
ovulation phase of ovarian cycle		Day 14 1. Peak in LH induces ovulation 2. LH peak + FSH slight rise produces cascade that stimulates ovulation  (Oocyte release from mature follicle)			
luteal phase of ovarian cycle		LH predominates during days 15-28, LH stimulates secretion of progesterone by the corpus luteum  => egg is popped out and the corpus luteum starts to produce oestrogen and progesterone which has a negative effect on both the hypothalamus and anterior pituitary gland (inhibition). Also an effect on the endometrium telling it to thicken further.			
Female issues		PMS, PCOS, Menopause			
PMS (premenstrual syndrome)		Nervous tension, mood swings, headaches, bloating, irritability			
PCOS (polycystic ovarian syndrome)		An endocrine disorder associated with chronic anovulation, most common in young women (teens to twenties). High LH/FSH ratio in blood; A hormonal disorder causing enlarged ovaries with small cysts on the outer edges.			
Menopause symptoms		vaginal dryness, hot flashes, irregular or amenorrhea, atrophy of breast tissue			
Virilization		the development of male physical characteristics (such as muscle bulk, body hair, and deep voice) in a female or precociously in a boy Most of the changes of virilization are produced by androgens (male hormones)			
Puberty changes		Physiological changes: - Fertility - Breast development (thelarche) - Pubic hair (pubarche) - Ovulation and first menstruation (menarche) - Growth spurt - Enlargement of scrotum and penis - Facial hair			
different sexes explanation		- X0: only 1 X chromosome - leads to the phenotype female, but turner's syndrome: they have sexual organs and genitalia but often lack the ovaries so sexual reproduction is disturbed.- XXX: leads to phenotype of females, are impassive show little emotions when younger and late development in motor speech and cognitive functioning. - XXY leads to phenotype male with Klinefelter syndrome: small testicles, decreased facial hair, erectile dysfunction and often also are infertile. - XYY: leads to phenotype male, develop normally sexually. Children are more physically active and experience delayed emotional maturity. - XY with phenotype female: when insensitive to androgens - XX with phenotype female: when increased sensitivity to testosterone , have in between external genitalia and a male disposition.			
different sexes genotype vs phenotype		XX - Female XY - Male X0 - Female (turners syndrome) XXX - Female XXY - Male (klinefelter) XYY - Male  XY insensitive to androgens - Female XX increased testosterone - Female			
sex development in the brain		Sexual development is caused by: Male: Testosterone converted into oestradiol which masculinizes the neurons of the brain  Female: Protected from masculinizing effects of oestradiol.The protein ‘alphafetoprotein’ binds to oestrogens and stops it entering the brain ➔ So there is a difference in the brain.			
addiction		compulsive engagement in rewarding stimuli, despite adverse consequences, e.g. drugs, gambling etc.			
behavioural tolerance		involved in the diminishing effects of a drug by the mechanisms of classical conditioning			
detox		a process or period of time in which one abstains from or rids the body of toxic or unhealthy substances			
dysphoria		negative emotions			
hallucinogens		Drugs including cannabis, LSD, Ketamine. Changes perception, dissociative sometimes, mild euphoria			
Immuno-suppression		suppression of the immune system			
pharmacodynamic tolerance		target receptors become fewer in number and/or become less sensitive in order to prevent overstimulation			
pharmacokinetic tolerance		the drug is more easily processed and metabolized by the body, therefore it is easier deactivated.			
placebo		an inert substance devoid of pharmacological effect			
rate-dependent hypothesis		the differences within the baseline decide which direction the effect of the medicine will have			
sedatives		drugs taken for its calming or sleep-inducing effect			
sensitisation		the increased effect after repeated exposure to a drugs. Sometimes called reverse tolerance			
stimulants		Drugs including cocaine, amfetamines, meth, nicotine, caffeine, MDMA, 4-fmp. Hunger and sleep are suppressed, enhance performance/endurance			
stimulants (effect)		increased alertness, attention, energy as well as blood pressure, heart rate and respiration			
tolerance		the diminishing effectiveness of a drugs after previous administration			
adaptive immune system		acquired immune system; specific immune system; a subsystem of the overall immune system that is composed of highly specialized, systemic cells and processes that eliminate pathogens or prevent their growth.			
allergic reaction		an overreacting immunesystem which starts fighting substances that are usually harmless (such as dust mites, pollen, or a medicine) as though these substances were trying to attack the body			
allergy		hypersensitivity to a substance, that doesn't have to be a harm to your body.			
anaphylactic shock		serious allergic reaction that is rapid in onset and may cause death			
antibody		immunoglobulin; a blood protein resembling a 'Y' produced by B-cells in response to and counteracting a specific antigen			
antigen		a molecule capable of inducing an immune response (to produce an antibody) in the host organism			
antigen-antibody complex		antigen reacting with an antibody, this works like a lock and key mechanism			
antigen-presenting cells (APC)		cell that presents antigens complexed with MHC's (antigen presentation)			
autoimmunity		system of immune responses of an organism against its own healthy cells and tissues			
B-cell		white blood cell that can present antigens and produces antibodies			
cell-mediated immune response		an immune response that does not involve antibodies, but rather involves the activation of phagocytes, antigen-specific cytotoxic T-lymphocytes, and the release of various cytokines in response to an antigen			
complement system		part of the immune system that complements the ability of antibodies and phagocytic cells to clear microbes from an organism, promotes inflammation, and attacks the pathogen's plasma membrane			
cytokines		communication molecules of immune cells			
cytotoxic T cell (Tcyt)		a T lymphocyte that kills cancer cells, cells infected viruses, or cells that are damaged in other ways			
dendritic cell		a phagocytic antigen-presenting cell in those tissues that are in contact with the external environment			
fever		having a temperature above the normal range due to an increase in the body's temperature set-point			
helper T cell (Th)		T-cell activated by an antigen on a MHCII receptor, causing the release of cytokines specific to either cytotoxic T-cells or B-cells			
histamine		an organic compound released by mast cells, causing an allergic reaction			
humoral immune response		specific immune response to substances within the bodily fluids, affecting B-cells through Th2 cells			
hypersensitivity		a set of undesirable reactions produced by the normal immune system, including allergies and autoimmunity			
immune response		recognition of foreign material as opposed to 'self' and the reaction to eliminate it, either specific or non-specific			
immune tolerance		a state of unresponsiveness of the immune system to substances or tissue that have the capacity to elicit an immune response			
immunodeficiency		failure, insufficiency, delay in the response of the immune system			
immunoglobulin (Ig)		antibodies; 'Y' shaped molecules produced by B-cells and plasma cells			
